MPN,candidate_url,domain,ranking,decision,score,fetched,http_status,content_type,exact_mpn,identity_value,identity_kind,identity_result,rejection_code
DCB518ASTS06G,,www.homedepot.com,plausible,plausible,8,False,,,,,,not_considered,RETAILER_DOMAIN_REJECTED
DCB518ASTS06G,https://diablotools.com/products/DCB518ASTS06G,diablotools.com,plausible,plausible,8,True,200,text/html; charset=utf-8,True,Diablo,brand,verified,
3MABR-7100075678,,www.grainger.com,plausible,plausible,5,False,,,,,,not_considered,RETAILER_DOMAIN_REJECTED
3MABR-7100045865,,www.grainger.com,plausible,plausible,5,False,,,,,,not_considered,RETAILER_DOMAIN_REJECTED
3MABR-7100048736,,www.grainger.com,plausible,plausible,5,False,,,,,,not_considered,RETAILER_DOMAIN_REJECTED
3MABR-7100075690,,www.grainger.com,plausible,plausible,5,False,,,,,,not_considered,RETAILER_DOMAIN_REJECTED
3MABR-7100075692,,www.grainger.com,plausible,plausible,5,False,,,,,,not_considered,RETAILER_DOMAIN_REJECTED
5B-332-080,https://wespacindustrial.com/product/sandpaper-187/?srsltid,wespacindustrial.com,plausible,plausible,8,True,200,text/html; charset=UTF-8,True,Wespac Industrial,manufacturer,conflict,MANUFACTURER_IDENTITY_CONFLICT
5B-332-080,https://beavertools.com/products/5b-332-080-mirka-hiolit-jca2ao-5-psa-tab-p80-qty-50?srsltid,beavertools.com,plausible,plausible,8,True,200,text/html; charset=utf-8,True,,,not_verified,IDENTITY_NOT_VERIFIED
5B-332-080,https://beavertools.com/products/5b-332-120-mirka-hiolit-jca2ao-5-psa-tab-p120-qty-50?srsltid,beavertools.com,plausible,plausible,8,True,200,text/html; charset=utf-8,True,,,not_verified,IDENTITY_NOT_VERIFIED
5B-332-080,https://beavertools.com/products/5b-332-060-mirka-hiolit-jca2a0-5-psa-tab-p60-qty-50?srsltid,beavertools.com,plausible,plausible,8,False,,,,,,not_fetched,ATTEMPT_LIMIT_REACHED
5B-332-120,https://beavertools.com/products/5b-332-120-mirka-hiolit-jca2ao-5-psa-tab-p120-qty-50?srsltid=AfmBOoqXA1P5ICAZQuf02v2IZa9e9ReTb9DwN950guu5PFJYqs0VCr7h,beavertools.com,plausible,plausible,8,True,200,text/html; charset=utf-8,True,,,not_verified,IDENTITY_NOT_VERIFIED
5B-332-120,https://aerotools.com/products/5b-332-120?srsltid=AfmBOopHGlFV6VgGBhxaxp7xIzHUwXnPFwziaOE1b4vDxIKpr6_dAXJa,aerotools.com,plausible,plausible,8,True,200,text/html; charset=utf-8,True,Mirka,brand,verified,
9A-570-240,https://www.hardwarexsupply.com/products/9a-570-240?srsltid=AfmBOoocMxQf9Vr1gOnoCaByFyqbQCvm3iy0vE5jDJk5m_nwmaAtFlGI,www.hardwarexsupply.com,plausible,plausible,8,True,200,text/html; charset=utf-8,True,Mirka,brand,verified,
