Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf
DCB518ASTS06G,"DCB518ASTS06G Diablo 1/2""x18"" - Sanding Belt 6pc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435)
3MABR-7100075678,3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN)
5B-332-080,"5B-332-080 HIOLIT 5"" P80",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS)
49-94-0013,"49-94-0013 Milw 5""x.045""x7/8"" Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
543302146,8' Wh Select T-Rail Kit Horiz - w/Sq Composite Balusters,TREX,-- No Unilog Brand --,-- No DIB Brand --,U S Lumber (3073)
ADCB15516BS,1x6-16' Brownstone Sq Edge - Harvest Azek PVC Decking,TIMBERTECH,-- No Unilog Brand --,-- No DIB Brand --,Parksite (6151)
1513724,1nx6-16' Tide Pool Sq Edge - Trex Enhance Basics Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA)
1517603,6068L Gliding Patio Dr 4500 United Blk Ext/WH Int LowE Arg w/J,United Window & Door,-- No Unilog Brand --,-- No DIB Brand --,United Window & Door Manufacturing (UNIWI)
576512,576512 65W Led BR40 Med 27k,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
578808,578808 Festool 3x4 M GR PRO/10,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Festool USA (FESTO)
