MPN,Manufacturer,Verified source,Verified sources,Accepted attributes,Status
DCB518ASTS06G,Freud Inc (2435),https://diablotools.com/products/DCB518ASTS06G,1,3,ready
3MABR-7100075678,Jam Industrial Supply LLC (JAMIN),None,0,0,needs_review
3MABR-7100045865,Jam Industrial Supply LLC (JAMIN),None,0,0,needs_review
3MABR-7100048736,Jam Industrial Supply LLC (JAMIN),None,0,0,needs_review
3MABR-7100075690,Jam Industrial Supply LLC (JAMIN),None,0,0,needs_review
3MABR-7100075692,Jam Industrial Supply LLC (JAMIN),None,0,0,needs_review
3MABR-7100145365,Jam Industrial Supply LLC (JAMIN),None,0,0,needs_review
5B-332-080,Mirka Abrasives Inc (MIRUS),None,0,0,needs_review
5B-332-120,Mirka Abrasives Inc (MIRUS),https://aerotools.com/products/5b-332-120?srsltid=AfmBOopHGlFV6VgGBhxaxp7xIzHUwXnPFwziaOE1b4vDxIKpr6_dAXJa,1,6,ready
9A-570-240,Mirka Abrasives Inc (MIRUS),https://www.hardwarexsupply.com/products/9a-570-240?srsltid=AfmBOoocMxQf9Vr1gOnoCaByFyqbQCvm3iy0vE5jDJk5m_nwmaAtFlGI,1,0,blocked
